s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
0,5.5,5.5,2.4457554,0,0.000483384443214163,0.000483384443214163,1E-06,-2.01201191314292,0,2.21,2.138,
71,72.1258351070562,7.17675441820455,1.63310486974023,-0.0870080884573365,0.289583325386047,0.000480491144116968,63.9,-0.773385603448012,0,2.21,2.138,
142,194.158715110549,14.944739630984,1.57289270950703,-0.431588298189451,0.775833964347839,0.000467527162982151,248.4,0.120728665986357,0,2.21,2.138,
213,324.904681443383,33.4475156889847,1.54891400585991,-1.09910702106395,1.25560963153839,0.000439295748947188,553.5,0.926833085929276,0,2.21,2.138,
284,453.378976063879,63.2939006175133,1.52141881509342,-1.96507807074055,1.65136742591858,0.000400304474169388,979.2,1.68036816702655,0,2.21,2.138,
355,585.421358067278,98.5754812027165,1.48824335652669,-2.75405607718719,2.10625219345093,0.000362292194040492,1525.5,2.3969932092892,0,2.21,2.138,
426,714.92008025328,150.892518926803,1.459388863156,-3.63921219501094,2.71018147468567,0.000317575118970126,2069.48970603014,2.96916091032396,0,2.21,2.138,
497,784.980740075873,180.605732049035,1.41872040615256,-4.0242752837959,3.65545725822449,0.000296771409921348,2186.92328606853,3.08037627871736,0,2.21,2.138,
568,839.813354619261,212.546416352406,1.38404186183685,-4.32925143348785,4.8541841506958,0.000277248065685853,2293.13217811445,3.17791470783988,0,2.21,2.138,
639,853.68098858029,233.671116970907,1.4722647033899,-4.68303895981307,2.78072714805603,0.000265687791397795,2061.3723907037,2.96133501349545,0,2.21,2.138,
710,501.162498483372,129.457957765449,2.02952162235681,-3.63789002876709,1.01866209506989,0.000334488926455379,0,-2.01294746499372,0,2.21,2.138,
781,413.633307175923,100.590856480312,2.0825794629974,-3.0258957152936,1.14852392673492,0.000360336824087426,0,-2.01294746499372,0,2.21,2.138,
852,364.495840762118,89.573051157356,2.11162250121788,-2.76432181927313,1.23705399036407,0.00037128763506189,0,-2.01294746499372,0,2.21,2.138,
923,330.169736141098,80.5196145582764,2.13140918610295,-2.53811920273739,1.30745697021484,0.000380796933313832,0,-2.01294746499372,0,2.21,2.138,
994,303.289946468547,76.4031577106264,2.14682362631704,-2.42812910827889,1.36844205856323,0.000385283667128533,0,-2.01294746499372,0,2.21,2.138,
1065,283.036172375684,71.299823453957,2.15839024967138,-2.29336924107771,1.41828989982605,0.000390995002817363,0,-2.01294746499372,0,2.21,2.138,
1136,266.801682451889,66.9347420309568,2.16750638105751,-2.17256572174936,1.46094655990601,0.000396016228478402,0,-2.01294746499372,0,2.21,2.138,
1207,227.449814308557,63.3671223539384,2.09531129095571,-2.02093324409282,1.18522357940674,0.000400217104470357,6.3,-1.52226099615049,0,2.21,2.138,
1278,232.882466728933,56.9308317717311,1.76592735883645,-1.84352101692153,0.329931080341339,0.000408025225624442,75.6,-0.687151843293744,0,2.21,2.138,
1349,316.605292974814,61.0452465608136,1.66025278787405,-1.94376222866873,0.678702175617218,0.000402999256039038,267.3,0.184241685113669,0,2.21,2.138,
1420,420.748719636614,77.0163212001799,1.5922675605849,-2.34740723399444,1.10699689388275,0.000384609040338546,585,0.992645798794408,0,2.21,2.138,
1491,541.028838513647,100.764085555874,1.53950816098043,-2.84208525713261,1.50450253486633,0.000360170466592535,1023.3,1.74602419908343,0,2.21,2.138,
1562,673.069163583237,143.661567264721,1.49970892116082,-3.55224757209538,1.952840924263,0.000323086773278192,1582.2,2.46184001545655,0,2.21,2.138,
1633,799.144115706687,194.823315365133,1.4626375565999,-4.21026371729104,2.5659019947052,0.00028775172540918,2098.83272463183,2.99729787855288,0,2.21,2.138,
1704,863.880649234688,239.247980711821,1.42548977008333,-4.63289687614068,3.47466397285461,0.000262795394519344,2224.35486600301,3.11506995701106,0,2.21,2.138,
1775,917.132800830188,273.23056839388,1.38920618547052,-4.87463317002863,4.5672812461853,0.000246445502853021,2316.44703477411,3.19896138837128,0,2.21,2.138,
1846,947.405654597433,277.056314323905,1.40275328468939,-4.94593279899453,4.06729459762573,0.000244731287239119,2260.43060435079,3.1481770136433,0,2.21,2.138,
1917,958.896032372666,290.910003835463,1.42889869603043,-5.05897975418729,3.21365118026733,0.000238718654145487,2218.09994566433,3.10929705799704,0,2.21,2.138,
1988,977.286354188246,306.119893500047,1.43017580928947,-5.1636171502126,3.15968179702759,0.000232448757742532,2221.40506533956,3.1123486913205,0,2.21,2.138,
2059,991.992640928999,318.33560207372,1.43082163824233,-5.24710344142849,3.11875009536743,0.000227646698476747,2223.07719501487,3.11389153920355,0,2.21,2.138,
2130,1005.69403750777,329.755196200831,1.4314621678499,-5.31878566075686,3.08181762695313,0.000223333612666465,2224.73610110383,3.11542149799187,0,2.21,2.138,
2201,1017.66638513789,339.911115083179,1.43198350147325,-5.37968299347657,3.05038404464722,0.000219632842345163,2226.0866671601,3.11666657870913,0,2.21,2.138,
2272,1028.18237405102,348.96925922879,1.43241245897884,-5.43183815118817,3.02342891693115,0.000216434083995409,2227.19816964123,3.11769092784978,0,2.21,2.138,
2343,1037.48843064422,357.092229293026,1.43276988968791,-5.47695790579659,3.00005483627319,0.0002136437833542,2228.12450342708,3.11854439313424,0,2.21,2.138,
2414,1045.7821035015,364.415519294088,1.43307115790658,-5.5163568081413,2.97959280014038,0.000211189137189649,2228.9054035943,3.11926369972566,0,2.21,2.138,
2485,1053.22036113976,371.049890445912,1.4333278485939,-5.55104919876546,2.96153497695923,0.000209013596759178,2229.57084324188,3.11987653344246,0,2.21,2.138,
2556,1061.43105505656,373.690477023016,1.43156460030651,-5.70102517373486,2.94302368164063,0.000208159835892729,2225.00143658127,3.11566614535345,0,2.21,2.138,
2627,1066.15601312497,375.887276389439,1.4325600055821,-5.62859306535728,2.93588018417358,0.000207455261261202,2227.58053949319,3.11804324502333,0,2.21,2.138,
2698,1071.95429960931,375.345782137304,1.43176541844328,-5.54521331536557,2.92705750465393,0.000207628705538809,2225.52166172134,3.11614575791824,0,2.21,2.138,
2769,1074.09605272755,375.756569869131,1.43181963673891,-5.52689329072156,2.92420530319214,0.000207497258088551,2225.66212411011,3.11627524325339,0,2.21,2.138,
2840,1075.98266634968,376.724844008805,1.43189856765404,-5.52611064708778,2.92111301422119,0.000207188044441864,2225.8666153854,3.11646374489017,0,2.21,2.138,
2911,1086.32626180515,378.403438122001,1.43032679291222,-5.62677398887947,2.903559923172,0.000206653930945322,2221.79593521037,3.112709403221,0,2.21,2.138,
2982,1088.59102328757,378.278468776346,1.430600715611,-5.50749328396614,2.90040564537048,0.000206693832296878,2222.50514283081,3.11336379398746,0,2.21,2.138,
3053,1090.64890492976,378.124068799835,1.43036046597018,-5.52344689328137,2.89657711982727,0.000206742814043537,2221.88311255861,3.11278984911739,0,2.21,2.138,
3124,1096.1490154339,377.454348295799,1.42941646056265,-5.60196087882325,2.88792681694031,0.000206955533940345,2219.43966296896,3.11053435419629,0,2.21,2.138,
3195,1099.84511292407,376.937497316241,1.4285949419314,-5.58309071784517,2.88198709487915,0.000207120145205408,2217.31413160792,3.1085711106141,0,2.21,2.138,
3266,1102.72996218673,377.802250866829,1.42858665494834,-5.57410346083799,2.87724351882935,0.000206844939384609,2217.29269468472,3.10855130468453,0,2.21,2.138,
3337,1104.96082011148,378.596839054567,1.43462546644191,-5.5796530102995,2.74766039848328,0.000206592696486041,2201.90730966029,3.09430675029123,0,2.21,2.138,
3408,1104.8673080289,378.274577276917,1.4473220701189,-5.59564826678979,2.47317695617676,0.000206694880034775,2171.44204755512,3.06592327046964,0,2.21,2.138,
3479,1103.69284509641,377.099628161866,1.46094460846733,-5.60835641448311,2.21189546585083,0.000207068427698687,2137.63005241372,3.03414057908281,0,2.21,2.138,
3550,1101.07855441877,378.737852615011,1.4765148710717,-5.55982998646066,1.96428418159485,0.000206548036658205,2101.83540216088,3.0001637952154,0,2.21,2.138,
3621,1084.07375545792,377.146893390509,1.49321612694078,-5.64548477840177,1.73677098751068,0.000207053293706849,1930,2.83201911711613,0,2.21,2.138,
3692,1044.00641623684,371.237924630093,1.51311790720594,-5.65997428426021,1.54122865200043,0.000208952362299897,1693.33333333333,2.58500889827506,0,2.21,2.138,
3763,998.627191278542,338.594986568852,1.53055521468108,-5.50000647329557,1.37001216411591,0.000220105241169222,1456.66666666667,2.31629525356245,0,2.21,2.138,
3834,949.645811469299,306.029068989456,1.55015810441255,-5.31375486311912,1.20869946479797,0.000232484890148044,1220,2.01989998709219,0,2.21,2.138,
3905,892.659917412122,277.558780173441,1.57479404980079,-5.06161831187228,1.05621492862701,0.00024450765340589,983.333333333333,1.68659627831883,0,2.21,2.138,
3976,831.732270901994,259.938159985685,1.60548226742154,-5.02494947744839,0.897322297096252,0.000252591940807179,746.666666666667,1.30079358462374,0,2.21,2.138,
4047,765.993289508544,226.940576620596,1.64092623455057,-4.74729565584912,0.725460946559906,0.000269264477537945,510,0.832142034057209,0,2.21,2.138,
4118,689.721775699844,195.249861651985,1.69350384935431,-4.43827092520853,0.51377260684967,0.000287488946923986,273.333333333333,0.203946399035339,0,2.21,2.138,
4189,605.275332993962,176.881006489976,1.81732999815934,-4.26387062109699,0.209872081875801,0.000299227773211896,36.6666666666667,-1.02034252000648,0,2.21,2.138,
4260,630.809660750356,176.089758222994,2.00666789363347,-4.34575507494676,0.150380507111549,0.000299754756269977,0,-2.01294746499372,0,2.21,2.138,
4331,607.756976043049,166.645804351081,2.01936049122855,-4.21089904515582,0.15431672334671,0.000306194124277681,0,-2.01294746499372,0,2.21,2.138,
4402,586.803112253775,158.217734858157,2.03085879014509,-4.0820058574744,0.158077716827393,0.000312179035972804,0,-2.01294746499372,0,2.21,2.138,
4473,567.948087875889,150.940446067729,2.04107416805618,-3.96556091709845,0.161622196435928,0.000317538215313107,0,-2.01294746499372,0,2.21,2.138,
4544,550.932325700885,144.584598880875,2.05017222888843,-3.85980810093361,0.164960160851479,0.000322371633956209,0,-2.01294746499372,0,2.21,2.138,
4615,535.406907356409,138.963917228952,2.05845514028348,-3.7629681856777,0.168128356337547,0.000326770270476118,0,-2.01294746499372,0,2.21,2.138,
4686,521.12157833344,133.935276150577,2.0660607787047,-3.67356491420012,0.171152964234352,0.000330808572471142,0,-2.01294746499372,0,2.21,2.138,
4757,507.881990870597,129.391618588746,2.07309602453055,-3.59044512852586,0.174054950475693,0.000334544194629416,0,-2.01294746499372,0,2.21,2.138,
4828,495.535135287565,125.25125156166,2.07964489665557,-3.5126950654806,0.176851347088814,0.000338022509822622,0,-2.01294746499372,0,2.21,2.138,
4899,483.959048695416,121.450765758716,2.08577428211494,-3.43958249677003,0.179556041955948,0.000341279577696696,0,-2.01294746499372,0,2.21,2.138,
4970,473.022602931783,117.935478859621,2.09150902864995,-3.37040697644914,0.182188406586647,0.000344348605722189,0,-2.01294746499372,0,2.21,2.138,
5041,462.709119908281,114.669966867851,2.09683383469231,-3.30479399272928,0.184742510318756,0.000347249384503812,0,-2.01294746499372,0,2.21,2.138,
5112,452.924528261521,111.623644640832,2.10187956220315,-3.24237119576421,0.187232732772827,0.000349999929312617,0,-2.01294746499372,0,2.21,2.138,
5183,443.6110754299,108.768851678005,2.10667682571683,-3.18277835742231,0.189666211605072,0.000352617382304743,0,-2.01294746499372,0,2.21,2.138,
5254,434.721596672856,106.083323197913,2.11125063549483,-3.12572742620848,0.19204868376255,0.000355115596903488,0,-2.01294746499372,0,2.21,2.138,
5325,426.216252700641,103.548499884832,2.1156221126444,-3.07097518564286,0.194384887814522,0.000357506331056356,0,-2.01294746499372,0,2.21,2.138,
5396,417.619922563229,101.677215279013,2.12003559630039,-3.03001030109383,0.196804523468018,0.000359291996574029,0,-2.01294746499372,0,2.21,2.138,
5467,409.712908820425,100.04561780424,2.12409098575043,-2.98042539216399,0.19908395409584,0.000360863632522523,0,-2.01294746499372,0,2.21,2.138,
