s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,
0,16,16,2.49975,0,0.000465359102236107,0.000465359102236107,1E-06,-2.01201191314292,0,2.21,2.138,
36,16.0000000000002,16.0000000000002,2.49974842320123,1.20922758584961E-10,0.000465371500467882,0.000465359102236107,0,-2.01294746499372,0,2.21,2.138,
72,16.0000000000002,16.0000000000002,2.49974842320123,1.20920297935286E-10,0.000465371500467882,0.000465359102236107,0,-2.01294746499372,0,2.21,2.138,
108,167.452167336992,19.17843527417,1.58667512884082,-0.127564741413182,0.537897050380707,0.000460296199889854,264,0.173350915220594,0,2.21,2.138,
144,289.696773239521,30.8910941788623,1.50451451270102,-0.602348036872007,1.12031197547913,0.000442553253378719,552,0.923643737336339,0,2.21,2.138,
180,376.151683042745,48.6973427535565,1.49768856787028,-1.16548364890774,1.55035006999969,0.000418055191403255,840,1.46065070009519,0,2.21,2.138,
216,448.538559548979,68.6224690962308,1.4871793209653,-1.70580427970948,1.84589755535126,0.000393670023186132,1128,1.89538501757758,0,2.21,2.138,
252,518.000789270106,85.6004605526722,1.47108528743289,-2.10742663000353,2.10282349586487,0.000375030154827982,1416,2.26753934964442,0,2.21,2.138,
288,588.053673723359,106.840218302815,1.45809269496965,-2.53875018361996,2.3468005657196,0.000354057876393199,1704,2.5965724797162,0,2.21,2.138,
324,658.179807251178,134.80484796242,1.44821811725386,-3.02152682562966,2.57889294624329,0.000329777278238907,1978.90387152488,2.88075703541675,0,2.21,2.138,
360,712.917173465865,160.932240593991,1.43799219548046,-3.41763991084252,2.833899974823,0.000309919938445091,2045.7102619263,2.94618274747875,0,2.21,2.138,
396,750.497093124409,176.972477757197,1.42390979574302,-3.65562547450349,3.14879846572876,0.000298871455015615,2093.82683958258,2.99251451860569,0,2.21,2.138,
432,779.275179686765,189.431300150352,1.41111154252813,-3.76486767392233,3.50696897506714,0.000290818948997185,2136.94462299691,3.03349317885638,0,2.21,2.138,
468,803.266027167339,205.976225158752,1.40610275643494,-3.9543464767228,3.72230362892151,0.000280772888800129,2159.43669671666,3.05467267196674,0,2.21,2.138,
504,823.302744152843,220.601254980644,1.40863010492523,-4.11077051698314,3.64419317245483,0.000272453355137259,2165.90957394447,3.06074326120527,0,2.21,2.138,
540,840.85112629483,233.711312319013,1.41063167529087,-4.24163002221514,3.57325673103333,0.00026540391263552,2171.04136053147,3.06554837669489,0,2.21,2.138,
576,856.51766633322,245.645553405196,1.4122619760405,-4.35366103974343,3.51287770271301,0.000259296561125666,2175.22484535805,3.06946051607896,0,2.21,2.138,
612,870.660007004548,256.617312314519,1.4136202230837,-4.45116031623714,3.46068906784058,0.000253924634307623,2178.71267767576,3.07271867435163,0,2.21,2.138,
648,881.464485655793,266.207553419228,1.4149381356294,-4.53361161790306,3.41973829269409,0.000249408185482025,2182.09907164185,3.07587908103149,0,2.21,2.138,
684,891.924555792511,274.72163989693,1.41582647526792,-4.60272492192942,3.38355660438538,0.00024553106050007,2184.38285905558,3.07800880120538,0,2.21,2.138,
720,902.356532815492,276.599558978544,1.41465007784754,-4.65726633468548,3.35685873031616,0.000244691997068003,2181.35872365325,3.07518839084417,0,2.21,2.138,
756,911.63258037372,278.041300645911,1.41403677334574,-4.63649372101054,3.33635687828064,0.000244051843765192,2179.78278177058,3.07371768455147,0,2.21,2.138,
792,920.789682061873,277.304884826006,1.41264622044455,-4.62711228986888,3.3173360824585,0.000244378432398662,2176.21131692716,3.07038234612139,0,2.21,2.138,
828,929.025324353664,281.757726784377,1.41300644718073,-4.64715394320411,3.29527306556702,0.000242416863329709,2177.13629035976,3.07124648014579,0,2.21,2.138,
